eps,method,avg_own_mv,avg_heldout_mv,avg_own_cum_return,avg_heldout_cum_return
600,dec_fc,1.2152715405491912,1.2983484458269428,0.6399479060891831,0.9527159185576327
600,dec_ring,1.2145705105660594,1.296527324058536,0.6417639613537378,0.9560100834688198
600,fedavg,1.15764014243565,1.2913299519424952,0.6423690776622714,0.9563461587656863
600,local,1.2127857430958684,1.2916488848224101,0.6415367170501383,0.9540971378745464
600,pf_ct_rsq,1.2189252047778147,1.301172872559179,0.6418436712894968,0.9559770552139306
